active,verticalMetierName,verticalMetierId,name,id,Client,fields,nbSubmissions,tags
1,spie-act-infra,793,z. Actions,14658,,"[{""name"":""Action"",""type"":""string"",""label"":""Action""},{""name"":""Qui"",""type"":""user"",""label"":""Qui"",""multiple"":false},{""name"":""Date"",""type"":""date"",""label"":""Quand ?"",""format"":""date""},{""name"":""Statut"",""type"":""list"",""label"":""Statut"",""multiple"":false,""linkedlist"":19917326}]",,""
1,spie-act-telecom,92,15.1 - EZAPA,62887,,"[{""name"":""adresse"",""type"":""string"",""label"":""Adresse""},{""name"":""ville"",""type"":""string"",""label"":""Ville""},{""name"":""codePostal"",""type"":""string"",""label"":""Code postal""},{""name"":""nmuBranchementCruivreEzapa"",""type"":""number"",""label"":""Nombre de branchements cuivre"",""format"":""0""}]",0,""
1,spie-act-infra,793,DOSO - AFF_Opportunités,17301,,"[{""name"":""Affaire"",""type"":""formula"",""label"":""Affaire""},{""name"":""CategorieOpp"",""type"":""list"",""label"":""Cat\u00e9gorie"",""multiple"":false,""linkedlist"":20430511},{""name"":""DescrOpp"",""type"":""string"",""label"":""Description de l'opportunit\u00e9""},{""name"":""Avancement"",""type"":""list"",""label"":""Avancement"",""multiple"":false,""linkedlist"":20430507},{""name"":""Action"",""type"":""string"",""label"":""Action \u00e0 mener""},{""name"":""Valorisation"",""type"":""number"",""label"":""Valorisation (k\u20ac)"",""format"":""0""},{""name"":""Ponderation"",""type"":""number"",""label"":""Pond\u00e9ration"",""format"":""percent""},{""name"":""ValoPond"",""type"":""formula"",""label"":""Valorisation pond\u00e9r\u00e9e (k\u20ac)""}]",13,""
1,spie-act-telecom,92,V - MatDR_Opportunités,52301,,"[{""name"":""Affaire"",""type"":""formula"",""label"":""Affaire""},{""name"":""CategorieOpp"",""type"":""list"",""label"":""Cat\u00e9gorie"",""multiple"":false,""linkedlist"":22419455},{""name"":""DescrOpp"",""type"":""string"",""label"":""Description de l'opportunit\u00e9""},{""name"":""Avancement"",""type"":""list"",""label"":""Avancement"",""multiple"":false,""linkedlist"":22419461},{""name"":""Valorisation"",""type"":""number"",""label"":""Valorisation (k\u20ac)"",""format"":""0""},{""name"":""Ponderation"",""type"":""number"",""label"":""Pond\u00e9ration"",""format"":""percent""},{""name"":""ValoPond"",""type"":""formula"",""label"":""Valorisation pond\u00e9r\u00e9e (k\u20ac)""},{""name"":""Actions"",""type"":""relation"",""label"":""Actions \u00e0 mener"",""multiple"":true}]",,""
1,spie-act-transport,8713,V - MatDR_Opportunités,52350,,"[{""name"":""Affaire"",""type"":""formula"",""label"":""Affaire""},{""name"":""CategorieOpp"",""type"":""list"",""label"":""Cat\u00e9gorie"",""multiple"":false,""linkedlist"":22421752},{""name"":""DescrOpp"",""type"":""string"",""label"":""Description de l'opportunit\u00e9""},{""name"":""Avancement"",""type"":""list"",""label"":""Avancement"",""multiple"":false,""linkedlist"":22421758},{""name"":""Valorisation"",""type"":""number"",""label"":""Valorisation (k\u20ac)"",""format"":""0""},{""name"":""Ponderation"",""type"":""number"",""label"":""Pond\u00e9ration"",""format"":""percent""},{""name"":""ValoPond"",""type"":""formula"",""label"":""Valorisation pond\u00e9r\u00e9e (k\u20ac)""},{""name"":""Actions"",""type"":""relation"",""label"":""Actions \u00e0 mener"",""multiple"":true}]",,""
1,spie-act-infra,793,DOSO - AFF_Risques,17300,,"[{""name"":""Affaire"",""type"":""formula"",""label"":""Affaire""},{""name"":""CategorieRisque"",""type"":""list"",""label"":""Cat\u00e9gorie"",""multiple"":false,""linkedlist"":20430501},{""name"":""DescrRisque"",""type"":""string"",""label"":""Description du risque""},{""name"":""Avancement"",""type"":""list"",""label"":""Avancement"",""multiple"":false,""linkedlist"":20430507},{""name"":""Action"",""type"":""string"",""label"":""Action \u00e0 mener""},{""name"":""Valorisation"",""type"":""number"",""label"":""Valorisation (k\u20ac)"",""format"":""0""},{""name"":""Ponderation"",""type"":""number"",""label"":""Pond\u00e9ration"",""format"":""percent""},{""name"":""ValoPond"",""type"":""formula"",""label"":""Valorisation pond\u00e9r\u00e9e (k\u20ac)""}]",22,""
1,spie-act-telecom,92,V - MatDR_Risques,52302,,"[{""name"":""Affaire"",""type"":""formula"",""label"":""Affaire""},{""name"":""CategorieRisque"",""type"":""list"",""label"":""Cat\u00e9gorie"",""multiple"":false,""linkedlist"":22419469},{""name"":""DescrRisque"",""type"":""string"",""label"":""Description du risque""},{""name"":""Avancement"",""type"":""list"",""label"":""Avancement"",""multiple"":false,""linkedlist"":22419461},{""name"":""Valorisation"",""type"":""number"",""label"":""Valorisation (k\u20ac)"",""format"":""0""},{""name"":""Ponderation"",""type"":""number"",""label"":""Pond\u00e9ration"",""format"":""percent""},{""name"":""ValoPond"",""type"":""formula"",""label"":""Valorisation pond\u00e9r\u00e9e (k\u20ac)""},{""name"":""Actions"",""type"":""relation"",""label"":""Actions \u00e0 mener"",""multiple"":true}]",,""
1,spie-act-transport,8713,V - MatDR_Risques,52353,,"[{""name"":""Affaire"",""type"":""formula"",""label"":""Affaire""},{""name"":""CategorieRisque"",""type"":""list"",""label"":""Cat\u00e9gorie"",""multiple"":false,""linkedlist"":22421829},{""name"":""DescrRisque"",""type"":""string"",""label"":""Description du risque""},{""name"":""Avancement"",""type"":""list"",""label"":""Avancement"",""multiple"":false,""linkedlist"":22421758},{""name"":""Valorisation"",""type"":""number"",""label"":""Valorisation (k\u20ac)"",""format"":""0""},{""name"":""Ponderation"",""type"":""number"",""label"":""Pond\u00e9ration"",""format"":""percent""},{""name"":""ValoPond"",""type"":""formula"",""label"":""Valorisation pond\u00e9r\u00e9e (k\u20ac)""},{""name"":""Actions"",""type"":""relation"",""label"":""Actions \u00e0 mener"",""multiple"":true}]",,""
1,spie-act-telecom,92,Z-Inactif-DOTO_EXAMEN ADEQUATION MATERIEL,52308,,"[{""name"":""Affaire"",""type"":""list"",""label"":""Affaire :"",""multiple"":false,""linkedlist"":22419691},{""name"":""date1"",""type"":""date"",""label"":""Date :"",""format"":""date""},{""name"":""Prestation"",""type"":""string"",""label"":""Prestation :""},{""name"":""Type_dengin"",""type"":""list"",""label"":""Type d'engin"",""multiple"":false,""linkedlist"":22420091},{""name"":""CACES"",""type"":""formula"",""label"":""CACES correspondant :""},{""name"":""Poids_max"",""type"":""boolean"",""label"":""Est ce que Le poids total maximal \u00e0 lever  est d\u00e9termin\u00e9 ?""},{""name"":""poids"",""type"":""number"",""label"":""Poids (tonnes)"",""format"":""0.00""},{""name"":""long_max"",""type"":""boolean"",""label"":""Est ce que La longueur maximale de la fl\u00e8che est d\u00e9termin\u00e9e?""},{""name"":""Longueur"",""type"":""number"",""label"":""Longueur (m\u00e8tres)"",""format"":""0.00""},{""name"":""Adequation_poids_long"",""type"":""boolean"",""label"":""Ad\u00e9quation poids \/ longueur avec les abaques""},{""name"":""Operateurs"",""type"":""label"",""label"":""Op\u00e9rateurs :""},{""name"":""Operateur_1"",""type"":""string"",""label"":""Op\u00e9rateur 1 :"",""linkedlist"":18426569},{""name"":""Operateur_2"",""type"":""string"",""label"":""Op\u00e9rateur 2 :"",""linkedlist"":18426569},{""name"":""Operateur_3"",""type"":""string"",""label"":""Op\u00e9rateur 3 :"",""linkedlist"":18426569},{""name"":""Operateur_4"",""type"":""string"",""label"":""Op\u00e9rateur 4 :"",""linkedlist"":18426569},{""name"":""valid"",""type"":""label"",""label"":""Validation des comp\u00e9tences et habilitations des op\u00e9rateurs""},{""name"":""autor_conduite"",""type"":""boolean"",""label"":""Autorisation de conduite :""},{""name"":""inter_engin"",""type"":""label"",""label"":""Interdiction d'utiliser l'engin""},{""name"":""Utilisateur_experimente"",""type"":""boolean"",""label"":""Utilisateur exp\u00e9riment\u00e9 :""},{""name"":""label14"",""type"":""label"",""label"":""A positionner sur un chantier facile""},{""name"":""diff_tache"",""type"":""list"",""label"":""Difficult\u00e9 de la tache :"",""multiple"":false,""linkedlist"":22420109},{""name"":""label16"",""type"":""label"",""label"":""Contacter service MOYEN \/ QSE""},{""type"":""separator""},{""name"":""label17"",""type"":""label"",""label"":""ENVIRONNEMENT AU SOL""},{""name"":""label19"",""type"":""label"",""label"":""Nature de sol pour calage""},{""name"":""label46"",""type"":""label"",""label"":""Route""},{""name"":""etat_route"",""type"":""list"",""label"":""Bon\/Mauvais \u00e9tat"",""multiple"":false,""linkedlist"":22420112},{""name"":""autre_route"",""type"":""list"",""label"":""Route"",""multiple"":true,""linkedlist"":22420115},{""name"":""string31"",""type"":""string"",""label"":""Autre :""},{""name"":""label48"",""type"":""label"",""label"":""Accotement""},{""name"":""etat_accotement"",""type"":""list"",""label"":""Bon\/Mauvais \u00e9tat"",""multiple"":false,""linkedlist"":22420112},{""name"":""Accotement"",""type"":""list"",""label"":""Accotement"",""multiple"":true,""linkedlist"":22420115},{""name"":""autre_accotement"",""type"":""string"",""label"":""Autre :""},{""name"":""label50"",""type"":""label"",""label"":""Trottoir""},{""name"":""etat_trottoir"",""type"":""list"",""label"":""Bon\/Mauvais \u00e9tat"",""multiple"":false,""linkedlist"":22420112},{""name"":""Trottoir"",""type"":""list"",""label"":""Trottoir"",""multiple"":true,""linkedlist"":22420115},{""name"":""autre_trottoir"",""type"":""string"",""label"":""Autre :""},{""name"":""label52"",""type"":""label"",""label"":""champ""},{""name"":""etat_champ"",""type"":""list"",""label"":""Bon\/Mauvais \u00e9tat"",""multiple"":false,""linkedlist"":22420112},{""name"":""champ"",""type"":""list"",""label"":""Champ"",""multiple"":true,""linkedlist"":22420115},{""name"":""autre_champ"",""type"":""string"",""label"":""Autre :""},{""name"":""Autre"",""type"":""list"",""label"":""Autre"",""multiple"":true,""linkedlist"":22420115},{""name"":""Autree"",""type"":""string"",""label"":""Autre :""},{""name"":""Denivele"",""type"":""boolean"",""label"":""D\u00e9nivel\u00e9""},{""name"":""label26"",""type"":""label"",""label"":""Risque de retournement de l'engin""},{""name"":""hydrographie"",""type"":""list"",""label"":""Hydrographie du terrain"",""multiple"":false,""linkedlist"":22420121},{""name"":""label31"",""type"":""label"",""label"":""Risque de terrain meuble""},{""name"":""acces_chantier"",""type"":""list"",""label"":""Acc\u00e8s au chantier"",""multiple"":false,""linkedlist"":22420124},{""name"":""label33"",""type"":""label"",""label"":""Renversement de l'engin""},{""name"":""Encombrement_sol"",""type"":""list"",""label"":""Encombrement au sol"",""multiple"":true,""linkedlist"":22420127},{""name"":""Aautre"",""type"":""string"",""label"":""Autre :""},{""name"":""label34"",""type"":""label"",""label"":""ENVIRONNEMENT A\u00c9RIEN""},{""name"":""Encombrement_aerien"",""type"":""list"",""label"":""Encombrement a\u00e9rien"",""multiple"":true,""linkedlist"":22420133},{""name"":""Autre_aerien"",""type"":""string"",""label"":""Autre :""}]",1,""
1,spie-act-transport,8713,V - EXAMEN ADEQUATION MATERIEL,52346,,"[{""name"":""Affaire"",""type"":""list"",""label"":""Affaire :"",""multiple"":false,""linkedlist"":22421353},{""name"":""date1"",""type"":""date"",""label"":""Date :"",""format"":""date""},{""name"":""Prestation"",""type"":""string"",""label"":""Prestation :""},{""name"":""Type_dengin"",""type"":""list"",""label"":""Type d'engin"",""multiple"":false,""linkedlist"":22421659},{""name"":""CACES"",""type"":""formula"",""label"":""CACES correspondant :""},{""name"":""Poids_max"",""type"":""boolean"",""label"":""Est ce que Le poids total maximal \u00e0 lever  est d\u00e9termin\u00e9 ?""},{""name"":""poids"",""type"":""number"",""label"":""Poids (tonnes)"",""format"":""0.00""},{""name"":""long_max"",""type"":""boolean"",""label"":""Est ce que La longueur maximale de la fl\u00e8che est d\u00e9termin\u00e9e?""},{""name"":""Longueur"",""type"":""number"",""label"":""Longueur (m\u00e8tres)"",""format"":""0.00""},{""name"":""Adequation_poids_long"",""type"":""boolean"",""label"":""Ad\u00e9quation poids \/ longueur avec les abaques""},{""name"":""Operateurs"",""type"":""label"",""label"":""Op\u00e9rateurs :""},{""name"":""Operateur_1"",""type"":""string"",""label"":""Op\u00e9rateur 1 :"",""linkedlist"":18426569},{""name"":""Operateur_2"",""type"":""string"",""label"":""Op\u00e9rateur 2 :"",""linkedlist"":18426569},{""name"":""Operateur_3"",""type"":""string"",""label"":""Op\u00e9rateur 3 :"",""linkedlist"":18426569},{""name"":""Operateur_4"",""type"":""string"",""label"":""Op\u00e9rateur 4 :"",""linkedlist"":18426569},{""name"":""valid"",""type"":""label"",""label"":""Validation des comp\u00e9tences et habilitations des op\u00e9rateurs""},{""name"":""autor_conduite"",""type"":""boolean"",""label"":""Autorisation de conduite :""},{""name"":""inter_engin"",""type"":""label"",""label"":""Interdiction d'utiliser l'engin""},{""name"":""Utilisateur_experimente"",""type"":""boolean"",""label"":""Utilisateur exp\u00e9riment\u00e9 :""},{""name"":""label14"",""type"":""label"",""label"":""A positionner sur un chantier facile""},{""name"":""diff_tache"",""type"":""list"",""label"":""Difficult\u00e9 de la tache :"",""multiple"":false,""linkedlist"":22421677},{""name"":""label16"",""type"":""label"",""label"":""Contacter service MOYEN \/ QSE""},{""type"":""separator""},{""name"":""label17"",""type"":""label"",""label"":""ENVIRONNEMENT AU SOL""},{""name"":""label19"",""type"":""label"",""label"":""Nature de sol pour calage""},{""name"":""label46"",""type"":""label"",""label"":""Route""},{""name"":""etat_route"",""type"":""list"",""label"":""Bon\/Mauvais \u00e9tat"",""multiple"":false,""linkedlist"":22421680},{""name"":""autre_route"",""type"":""list"",""label"":""Route"",""multiple"":true,""linkedlist"":22421683},{""name"":""string31"",""type"":""string"",""label"":""Autre :""},{""name"":""label48"",""type"":""label"",""label"":""Accotement""},{""name"":""etat_accotement"",""type"":""list"",""label"":""Bon\/Mauvais \u00e9tat"",""multiple"":false,""linkedlist"":22421680},{""name"":""Accotement"",""type"":""list"",""label"":""Accotement"",""multiple"":true,""linkedlist"":22421683},{""name"":""autre_accotement"",""type"":""string"",""label"":""Autre :""},{""name"":""label50"",""type"":""label"",""label"":""Trottoir""},{""name"":""etat_trottoir"",""type"":""list"",""label"":""Bon\/Mauvais \u00e9tat"",""multiple"":false,""linkedlist"":22421680},{""name"":""Trottoir"",""type"":""list"",""label"":""Trottoir"",""multiple"":true,""linkedlist"":22421683},{""name"":""autre_trottoir"",""type"":""string"",""label"":""Autre :""},{""name"":""label52"",""type"":""label"",""label"":""champ""},{""name"":""etat_champ"",""type"":""list"",""label"":""Bon\/Mauvais \u00e9tat"",""multiple"":false,""linkedlist"":22421680},{""name"":""champ"",""type"":""list"",""label"":""Champ"",""multiple"":true,""linkedlist"":22421683},{""name"":""autre_champ"",""type"":""string"",""label"":""Autre :""},{""name"":""Autre"",""type"":""list"",""label"":""Autre"",""multiple"":true,""linkedlist"":22421683},{""name"":""Autree"",""type"":""string"",""label"":""Autre :""},{""name"":""Denivele"",""type"":""boolean"",""label"":""D\u00e9nivel\u00e9""},{""name"":""label26"",""type"":""label"",""label"":""Risque de retournement de l'engin""},{""name"":""hydrographie"",""type"":""list"",""label"":""Hydrographie du terrain"",""multiple"":false,""linkedlist"":22421689},{""name"":""label31"",""type"":""label"",""label"":""Risque de terrain meuble""},{""name"":""acces_chantier"",""type"":""list"",""label"":""Acc\u00e8s au chantier"",""multiple"":false,""linkedlist"":22421692},{""name"":""label33"",""type"":""label"",""label"":""Renversement de l'engin""},{""name"":""Encombrement_sol"",""type"":""list"",""label"":""Encombrement au sol"",""multiple"":true,""linkedlist"":22421695},{""name"":""Aautre"",""type"":""string"",""label"":""Autre :""},{""name"":""label34"",""type"":""label"",""label"":""ENVIRONNEMENT A\u00c9RIEN""},{""name"":""Encombrement_aerien"",""type"":""list"",""label"":""Encombrement a\u00e9rien"",""multiple"":true,""linkedlist"":22421701},{""name"":""Autre_aerien"",""type"":""string"",""label"":""Autre :""}]",,""
